projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end
2023【每天都想史】手撕日曆｜輕鬆就讀撕歷大學，進入每曆新史界！,每天都想史有限公司,5396247,899,https://www.zeczec.com/projects/deadeveryday,"讓人每天開心讀歷史的神秘魔法！是百萬 YouTuber HOOK 燃燒體內的金木水火土，用對歷史滿滿的愛製作而成的日曆～♪,zeczec",43 天,2022/09/18 12:00 – 2022/10/31 23:59,2022/09/18 12:00:00,2022/10/31 23:59:00
2023 繪本插畫月曆－「我們不只可愛，還要熱熱鬧鬧！」,Niko Lee,3570,660,https://www.zeczec.com/projects/calendar2023_nikolee,"繪本風格的美麗插畫，結合月曆的形式融入於生活，讓大家能夠享受一邊欣賞插畫、一邊尋找彩蛋的樂趣！,zeczec",42 天,2022/09/16 22:00 – 2022/10/30 23:59,2022/09/16 22:00:00,2022/10/30 23:59:00
印度安娜｜《印粉三曆2023週記事手帳》,印度安娜,16170,550,https://www.zeczec.com/projects/anna2023,"全國第一本印度曆手帳！首創台灣行事曆、農民曆與印度曆同時存在的三曆週記事手帳，裏裏外外充滿印度味，隨著時間與日月自然律動，來和印度安娜一同體驗不一樣的2023年。,zeczec",35 天,2022/09/16 19:21 – 2022/10/23 23:00,2022/09/16 19:21:00,2022/10/23 23:00:00
𝙀𝙞𝙣𝙁𝙞𝙩 女性團隊代表力作 : 專為私密開發保養補充品．莓好益菌．輕鬆做自己！,EinFit,26052,1988,https://www.zeczec.com/projects/CranberryProbiotics,"「世代交替，重新定義女性！」莓好益菌懂妳在乎的：CranPure蔓越莓前花青素 + HerCare私密益生菌 + 聖潔莓 + 卡姆果C，全方位保健：年輕女孩要更愛自己，熟齡婦女也可以天天保養！,zeczec",27 天,2022/09/16 13:00 – 2022/10/15 23:59,2022/09/16 13:00:00,2022/10/15 23:59:00
2023 明想正念日曆 Bit By Bit Calendar｜用日復一日的美好・切換內心的開關,dxpresso,202150,1560,https://www.zeczec.com/projects/dxpresso-bit-by-bit-calendar,"給初學者的正念日曆，透過365天明想每日提醒 + 每日療癒圖形，讓大腦進入短暫的正念狀態、消除眼睛疲勞，陪你一點一滴的累積，一天比一天進步！,zeczec",27 天,2022/09/16 12:00 – 2022/10/15 23:59,2022/09/16 12:00:00,2022/10/15 23:59:00
原木肖楠鋼筆組,木筆家,3600,3600,https://www.zeczec.com/projects/woodenpenhome,"高級原木肖楠製作的鋼筆和血木筆盒,zeczec",42 天,2022/09/15 21:00 – 2022/10/30 23:59,2022/09/15 21:00:00,2022/10/30 23:59:00
【 Epomaker TH96｜客製化 RGB 機械鍵盤 】QMK/VIA 支援，輕量級發燒入門一把就夠。,Epomaker,34393,5399,https://www.zeczec.com/projects/epomaker-th96,"不銹鋼板機身加上矽膠墊圈安裝結構，添加矽膠吸音泡沫和厚矽膠阻尼底墊保證了鍵盤厚實的手感與平順的打字體驗。相容QMA韌體並支援VIA，充分自定義您的客製化需求。再加上熱插拔軸座設計，特別的多媒體操...,zeczec",24 天,2022/09/15 12:00 – 2022/10/13 02:00,2022/09/15 12:00:00,2022/10/13 02:00:00
【2023清旅行手撕桌曆】網紅凡清親手製作｜ 365天日日旅行 橫跨50國 ｜ 伴你收藏一整年的美好,2023清旅行手撕桌曆,123583,680,https://www.zeczec.com/projects/cingtravel2023,"一起去旅遊吧！這本《2023清旅行手撕桌曆》是我親手製作的喔，當初答應仲仲要帶她去度假而製作的，遨遊50國風景美食，每日一句土味情話，365天日日充滿驚喜，各方面細節都超級注重，分享給各位,zeczec",43 天,2022/09/14 21:00 – 2022/10/31 23:59,2022/09/14 21:00:00,2022/10/31 23:59:00
Calm 2023 礦石年曆 ✺ 擁有一整年的礦石風景,Calm Crystals,4570,850,https://www.zeczec.com/projects/calm2023calendar,"用自然的礦石紋理描繪成新語彙，以年曆形式默默陪伴2023年,zeczec",25 天,2022/09/14 21:00 – 2022/10/14 20:59,2022/09/14 21:00:00,2022/10/14 20:59:00
【今日宜小聊－2023腥座日曆】自我安慰開啟美好的一天， 2023腥辣才是王道,小瑜星座,90052,100,https://www.zeczec.com/projects/zodiac-teacheryu-calendar-2023,"宇宙間第一本與你對話、用星座與你互動的「沉浸式日曆」，365天專屬腥雞湯金句，讓你每天花5分鐘思考人生，搭配自己寫下每天想要對話的主題，讓2023每日都有意義！,zeczec",51 天,2022/09/14 12:00 – 2022/11/08 23:59,2022/09/14 12:00:00,2022/11/08 23:59:00
