projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period
PasswordPocket 密碼記憶神器｜解放大腦！給你最安全、方便的登入新選擇！,Atlancube ,341310,780,https://www.zeczec.com/projects/passwordpocket,"密碼不再忘！重要資訊不再擔心被虧看！一切掌握在手中！Atlancube 團隊致力於將最新科技帶入生活，創造更安全、迅速、方便的世界。,zeczec",30 天,2022/11/14 15:00 – 2022/12/16 23:59
這真的太 G8 了！由玩家們舉辦的遊戲展，給你更不一樣的體驗！,G-EIGHT 巨罷娛樂,1197863,990,https://www.zeczec.com/projects/geight2022,"一個由玩家自己籌辦，屬於玩家的電玩展。 為台灣獨立遊戲為主打的遊戲展，今年冬季隆重開展~,zeczec",4 天,2022/10/18 20:00 – 2022/11/20 23:59
SUSSI「Eye罩護」瞬熱音波護眼儀 | 一罩熱敷按摩眼罩雙享受，眼壓頭痛say掰掰,SUSSI,177101,1680,https://www.zeczec.com/projects/sussi-massage-eyemask,"消除眼睛疲勞 除了藥物，你還有更好的選擇 2022百大網友激推『SUSSI「Eye罩護」瞬熱音波護眼儀』 非藥物、非侵入式，快速有效舒緩緊繃的雙眼 讓SUSSI帶你一起告別高眼壓，眼酸、頭痛都掰掰！！,zeczec",6 天,2022/10/24 12:00 – 2022/11/22 23:59
LOTUS9 雙介面讀卡機 | 全球最小、可更換式記憶卡、無須下載驅動、鋅合金鍍黑鎳特別打造！！,LOTUS9,18831,549,https://www.zeczec.com/projects/lotus9-512gb,"LOTUS9 雙介面讀卡機方便於最短的時間內觀看或是取用需要的內容，鋅合金鍍黑鎳的堅硬外殼不只能為日常生活提供足夠保護也能增加質感，小巧俐落的外觀設計可置於任何空間。,zeczec",14 天,2022/10/12 12:00 – 2022/11/30 23:59
XpreSole® Blocks 全防水積木咖啡靴｜踏出童心，擺脫潮濕！無論晴雨，每一步都輕盈乾爽,Lab22 Taiwan,2339910,4480,https://www.zeczec.com/projects/xpresole-blocks,"Blocks 積木咖啡靴｜由咖啡渣製成、防水、透氣、舒適、超輕、乾爽等 12 項超強機能，加上獨家積木鞋底，帶你找回童心，穿出風格！,zeczec",51 天,2022/10/31 12:00 – 2023/01/06 23:59
世界第二輕大傘『極度輕高爾夫』271g輕盈登場｜超抗風、防潑水｜雨傘王首創終身免費維修！,雨傘王,659118,799,https://www.zeczec.com/projects/ultra_lightweight,"親子外出、開車族、高爾夫愛好者、三五好友，想拿出可遮擋所有人的直立大傘， 卻因為重量﹑花色、功能，寧願撐折傘自己淋雨也不願選擇長傘？就讓『極度輕高爾夫』打破刻板印象！ ,zeczec",29 天,2022/11/04 15:00 – 2022/12/15 23:59
 Aries 快拆式大錐刀磨豆機 ｜83mm 3 秒快拆式鍍鈦錐刀，5 段式可調式研磨轉速，在家就能享受頂級精品咖啡風味,米克斯酷,4007500,28900,https://www.zeczec.com/projects/aries,"在家喝咖啡也能很享受。專為咖啡痴匠心打造的 Aries 磨豆機，獨家 3 秒刀盤快拆設計，結合 83mm 鍍鈦錐刀，為每一次磨豆留下最純粹風味，只留口齒餘香給您。,zeczec",43 天,2022/11/15 21:00 – 2022/12/29 23:59
Hello Studio 你好工作室《狐吉與星星》繪本出版計畫,你好藝思有限公司,127470,1250,https://www.zeczec.com/projects/hellostudio,"總是為了別人奔波的你，有多久沒有跟自己說聲「辛苦了」？ 這是一本關於「愛自己」的繪本。,zeczec",45 天,2022/11/15 20:00 – 2022/12/31 23:59
〖 蠟筆小新熱壓吐司機 〗零失敗! 三分鐘療癒上桌♡ 高顏值小新×小白雙烤紋★陪你吃可愛長大,Norns,1284962,1690,https://www.zeczec.com/projects/norns,"日本官方授權 ‧ 全台首發 ♡《蠟筆小新：風起雲湧 光榮烤吐司之路》登場◆預購就送日式兩用收納袋◆省時省力一鍋到底★ 咖啡廳等級的吐司／鬆餅在家輕鬆做。一機在手，療癒無限、美味無窮,zeczec",34 天,2022/11/01 11:00 – 2022/12/20 23:59
月動褲｜吸血長褲＆吸血短褲，超大吸血面積 x 一件抵三件 x 專利反摺邊防漏工法，超越所有衛生棉，讓月亮褲®解放你的經期 Body！,谷慕慕 GoMoond,763237,2991,https://www.zeczec.com/projects/GoMoond,"台灣第一件吸血內褲品牌 - 月亮褲®推出的最新力作，「內外褲一體式設計」的吸血長褲＆吸血短褲，讓每個有月經的人，在經期也能更安心自在活動！,zeczec",33 天,2022/11/08 20:00 – 2022/12/20 02:00
【WATCH THE MUSIC】潮流智能音樂眼鏡 / 墨鏡 - 讓科技融入生活、從此釋放雙耳！,KlassiC. x AES x SOLOS,316400,8200,https://www.zeczec.com/projects/klassic,"結合亞洲臉型鏡框、潮流時尚風格與最新智能科技，歷時兩年研發打造集聽歌通話與健康監測於一身，能自在配戴的整合性智慧音樂眼鏡 / 墨鏡！,zeczec",44 天,2022/11/15 21:00 – 2022/12/30 23:59
MUFU V20S ｜雙鏡頭機車行車記錄器｜超大電量連續錄影長達7.5小時｜即扣即錄免按鍵使用很簡單,MUFU,2867451,2990,https://www.zeczec.com/projects/mufu-v20s,"機車行車記錄器使用可以很簡單，MUFU推出一款男女老少都能使用的機車行車紀錄器，行車記錄簡單搞定！,zeczec",14 天,2022/10/26 11:00 – 2022/12/01 02:00
PUR寵物友善凝香樹｜100%純天然，為毛孩全手工製作的擴香蠟燭,PUR labo,5570,2190,https://www.zeczec.com/projects/pur,"為了心愛動物夥伴而生的安全純天然香氛蠟燭，寵愛毛孩的同時，也可以寵愛自己。,zeczec",51 天,2022/11/16 12:00 – 2023/01/06 23:59
Fuumas Puzzle 阿里山百年 SL-21 夏依式火車收藏紀念款模型 | 祝賀阿里山林業鐵路 & 夏依式火車 110 周年誕辰、3D 立體可動木質模型拼圖！,富馬樂創,350499,1970,https://www.zeczec.com/projects/FuumasPuzzle-SL-21,"透過現代工藝、設計巧思，讓消費者以合理的價格，擁有「立體、可手動、著重細節」的DIY木質蒸汽機車拼圖！,zeczec",43 天,2022/11/16 10:30 – 2022/12/29 23:59
Logitech【ZONE VIBE 100 無線藍牙耳機麥克風 & Brio 500 網路攝影機】輕奢玩美．質感辦公．,Logitech Taiwan,3573130,2690,https://www.zeczec.com/projects/logitech-PC,"品味拉滿！質感協作首選｜無論辦公或娛樂，都要你亮眼✨,zeczec",13 天,2022/10/12 12:00 – 2022/11/30 02:00
請來買「腳頭老大」們做的「快樂襪」｜瑪利亞身心障礙青年終於開襪子店了，努力籌措第一批訂單！,財團法人瑪利亞社會福利基金會,904585,1698,https://www.zeczec.com/projects/merry-young-x,"誰說身心障礙青年只能等人救助？刷新以往對於心智障礙者的偏見，一起穿上他們創作的舊城心故事 Merry Youngの 老派約會快樂襪，「走到哪裡」都能感受到台中爆笑又天真的人情味,zeczec",43 天,2022/11/01 11:00 – 2022/12/29 23:59
bitplay Wander Pack 全境旅行系列｜專為旅行設計的超輕量包袋，解決外出會遇到的永恆煩惱。,bitplay,388880,3080,https://www.zeczec.com/projects/bitplay-wander-pack,"專為旅行設計，採用專業戶外等級面料，超輕量 x 多隔層 x 防潑水， 出國旅行、戶外活動、每日通勤，背了就出發！,zeczec",20 天,2022/10/26 12:00 – 2022/12/06 23:59
【限量33折】🌳小芳純森🌳｜空間防護迷你擴香儀｜療癒呼吸 ‧ 還原精油原始香氛！,BriseCare B.V.,162533,990,https://www.zeczec.com/projects/snano,"首款具備「空間防護」的隨身擴香儀，6x6公分超迷你，清淨機級空氣純化技術，瞬間去除空氣中異味分子，隨時享受最原始的精油香氛！,zeczec",21 天,2022/11/15 21:00 – 2022/12/08 00:00
【10分鐘快速水洗！超省錢！】新冠病毒99.99%抑制認證 x 大坪數小坪價 x 淨化小至0.01奈米顆粒物 x SGS國際認證 x 語音聲控超方便 x UV殺菌,Apolnus 水洗濾網空氣清淨機,14983253,9990,https://www.zeczec.com/projects/apolnus,"濾網簡易清潔大升級、省錢、省心、又環保，5~14坪空間靈活運用，獨家創新濾網技術、易水洗、無臭氧，實驗認證可過濾奈米顆粒，解決空氣清淨機使用上的痛點，真正空清機界的最強王者！,zeczec",6 天,2022/10/05 11:00 – 2022/11/22 23:59
【眠朵雲 2.0 】恆溫深度釋壓枕｜業界最高枕心密度支撐，3 層科技布套打造吸濕／排汗／抗菌極致舒適感，陪你夜夜好眠,戀家小舖,9747329,2680,https://www.zeczec.com/projects/lovingfamily,"熱賣超過 15,000 顆的【眠朵雲】推出全新二代！領先業界 3 倍枕心密度，提供良好支撐與深層釋壓。3 層科技布套，則讓肌膚有最舒適的接觸感，一試就愛上！,zeczec",7 天,2022/10/12 21:00 – 2022/11/24 02:00
【磁流蝸蝸機｜微磁流＋量子熱能】重塑V臉X緊緻Q彈X撫紋有感，每日5分鐘緊緻看得見！,貝思得國際股份有限公司,178570,2980,https://www.zeczec.com/projects/snails,"一款專為逆齡而生的美容儀，媲美醫美級的3大功能『微磁流』＋『量子熱能』＋『高頻震動』，為你撫平細紋、重現緊緻、拉提臉部線條，簡單操作、逆齡有感。,zeczec",12 天,2022/09/12 20:00 – 2022/11/28 23:59
